Game|Species|Key|Name|Size|Speed|Supply|Minerals|Gas|Armor|HP|Shields|Ground Attack|G. DPS|Air Attack|A. DPS|Cooldown|Range|Attack Mod|Sight|Notes|Build Time|Abilities|Cargo|Bonus
starcraft2|protoss|probe2|Probe| 0.75| 1.5| 1| 50| 0| 0 (+1)| 20| 20| L, M| | 5 (+0)| 3.3| | 2.8125| | M| 8| 17|| 1|
starcraft2|protoss|zealot2|Zealot| 0.75| 1.2| 2| 100| 0| 1 (+1)| 100| 50| L, B| | 8 (+1) x2| 13.3 (+1.7)| | 2.25 (+0.5)| | M| 9| 38/28|| 2|
starcraft2|protoss|sentry2|Sentry| 1.25| 1.0| 2| 50| 100| 1 (+1)| 40| 40| L, M, P| | 6 (+1)| 6 (+1)| | 2.25| | 5| 10| 37/32|| 2| 6 (+1)
starcraft2|protoss|stalker2|Stalker| 1.25| 1.44| 2| 125| 50| 1 (+1)| 80| 80| A, M| +4 A| 10 (+1)| 6.9 (+0.7)| P| 2.9531| +2.8 A| 6| 10| 42/32|| 2| 10 (+1)
starcraft2|protoss|hightemp2|High Templar| 0.75| | 2| 50| 150| 0 (+1)| 40| 40| L, B, P| | | | | 1.875| | | 10| 55/45|| 2|
starcraft2|protoss|darktemp2|Dark Templar| 0.75| 1.694| 2| 125| 125| 1 (+1)| 40| 80| L, B, P| | 45 (+5)| 26.6 (+3)| | 2.8125| | M| 8| 55/45|| 2|
starcraft2|protoss|immortal2|Immortal| 1.5| 1.45| 4| 250| 100| 1 (+1)| 200| 100| A, M| +30 (+3) A| 20 (+2)| 13.8 (+1.4)| | 2.25| +20.7 (+2.1) A| 6| 9| 55|| 4|
starcraft2|protoss|colossus2|Colossus| 2 / | 1.65| 6| 300| 200| 1 (+1)| 200| 150| A, M, Ma| | 15 (+2) x2| 18.2 (+2.4)| L| 2.25| | 6 (+3)| 10| 75|| 8|
starcraft2|protoss|archon2|Archon| 1.5| 1.754| 4| 0| 0| 0 (+1)| 10| 350| P, Ma| +10 (+1) B| 25 (+3)| 14.3 (+1.7)| S| 2.8125| +5.7 (+0.6) B| 3| 9| 12|| 4| 25 (+3)
starcraft2|protoss|observer2|Observer| 1| | 1| 25| 75| 0 (+1)| 40| 20| L, M| | | | | 1.875 (+0.9375)| | | 11| 30|| |
starcraft2|protoss|warp2|Warp Prism| 1.75| | 2| 200| 0| 0 (+1)| 100| 100| A, M, P| | | | | 2.9531 (+0.422)| | | 10| 50|| |
starcraft2|protoss|phoenix2|Phoenix| 1.5| 1.11| 2| 150| 100| 0 (+1)| 120| 60| L, M| +5 L| | | P| 4.25| +9 L| 5 (+2)| 10| 35|| | 5 (+1) x2
starcraft2|protoss|mothership2|Mothership Core| 2| 0.85| 2| 100| 100| 1 (+1)| 130| 60| A, M, P| | 8 (+1)| 9.4 (+1.2)| P| 1.875| | 5| 9| 30|| |
starcraft2|protoss|void2|Void Ray| 1.5| 0.5| 4| 250| 150| 0 (+1)| 150| 100| A, M| +4 (+1), +10 (+1) A| 6 (+1)| 12 (+2)| | 2.25| +8 (+2), +20 (+2) A| 6| 10| 60|| | 6 (+1)
starcraft2|protoss|oracle2|Oracle| 1.5| 0.86| 3| 150| 150| 0 (+1)| 100| 60| L, M, P| +10 L| 15 | 17.4| | 4| +11.6| 4| 10| 50|| |
starcraft2|protoss|tempest2|Tempest| 2.5| 3.3| 4| 300| 200| 2 (+1)| 300| 150| A, M, Ma| +50 (+2) Ma Air| 30 (+3)| 9.1 (+0.9)| P| 1.875| +15.2 (+0.6) Ma Air| 15| 12| 60|| | 30 (+3)
starcraft2|protoss|carrier2|Carrier| 2.5| 0.5 (0.125/ 0.25)| 6| 350| 250| 2 (+1)| 300| 150| A, M, Ma| | | 26.7 (+5.3)| | 1.875| | 8| 12| 120|| |
starcraft2|protoss|interceptor2|Interceptor| 0.5| 3.0| 0| 25| 0| 0 (+1)| 40| 40| L, M| | 5 (+1) x2| 3.3 (+0.7)| | 7.5| | 2| 7| 8|| | 5 (+1) x2
starcraft2|protoss|mothership2|Mothership| 2.75| 2.21| 8| 300| 300| 2 (+1)| 350| 350| A, M, P, Ma| | 6 (+1) x6| 16.3 (+2.7)| | 1.4062| | 7| 14| 100|| | 6 (+1) x6
